vietnamese	english
vợ đại sứ	ambassadress
vợt	bat
vợt quần vợt	tennis-racket
vươn	crane
vươn cổ	crane
vươn lên	uprear
vươn lên mãi!	excelsior
vươn vai	sprawl
vương công	raja
vương giả	kingly
vương miện	diadem
vương quyền	diadem
vương quốc	realm
vườn cam	orangery
vườn cảnh	pleasure-garden
vườn dạo chơi	pleasance
vườn dứa	pinery
vườn hoa	park
vườn hoa hồng	rosary
vườn kiểng	pleasure-garden
vườn ly-xi-um	lyceum
vườn nho	vineyard
vườn rau	kailyard
vườn rộng	policy
vườn thú	zoo
vườn tược	premise
vườn ươm	plantation
vườn ương	nursery
vướng	catch
vượn driopitec	dryopithecine
vượn mực	siamang
vượn người	anthropoid
vượt	cap
vượt ai	pipe
vượt biển	navigate
vượt bực	exceeding
vượt dễ dàng	walk
vượt hẳn	outclass
vượt hẳn lên	tower
vượt hơn	bang
vượt khỏi	come
vượt lên hẳn	transcendent
vượt qua	run
vượt qua được	outrode
vượt quá	pass
vượt rào	fence
vượt trội hơn	overtop
vượt trước	forward
vượt xa	shew
vượt xa ai	ring
vượt được	weather
vừ phải	moderato
vừa	sat
vừa bắt đầu	inchoate
vừa ghét	ambivalent
vừa ho	cough
vừa hơn	fit
vừa khít	tight-fitting
vừa lòng	content
vừa mới	hardly
vừa mới ra	fresh
vừa mới tới	fresh
vừa mới xong	now
vừa ngọt	bitter-sweet
vừa nhịp	ticket
vừa như in	glove
vừa nói	word
vừa phải	modest
vừa qua	last
vừa sít chân	full-fashioned
vừa tầm tay	handy
vừa vặn	set
vừa với	go
vừa vừa	so-so
vừa yêu	ambivalent
vừa ý	content
vừa ý về	keen
vừa đúng	just
vừa đúng lúc	early
vừa đủ	just
vừng	til
vứt	hove
vứt bỏ	put
vứt bỏ đi	dog
vứt bừa bãi	threw
vứt lung tung	toss
vứt lên	cast
vứt nó đi!	away
vứt vào	threw
vứt xuống	cast
vứt đi	toss
vữa	mortar
vữa chịu lửa	slurry
vữa lòng	cullis
vữa lót	rendering
vữa lỏng	grout
vữa xtucô	stucco
vững	firm
vững chãi	sound
vững châi	four-square
vững chân	footsure
vững chắc	keel
vững như đá	rocky
vững tay	emergency
vững vàng	firm
vựa	storehouse
vựa cỏ khô	hay-mow
vựa lúa	granary
vựa thóc	garner
vực	pool
vực biển	gulf
vực sâu	deep
vực thẳm	gulf
weak r. co yếu	retract
xa bao nhiêu	far
xa bờ biển	offshore
xa gần	insinuative
xa hội	monde
xa hơn	fart
xa hơn hết	furthest
xa hơn nữa	further
xa lộ	motorway
xa lắc xa lơ	away
xa miệng	aboral
xa nhất	utmost
xa nữa	fart
xa quay tơ	spinner
xa ruột	abenteric
xa rời	aloof
xa rời ra	disengage
xa tanh sacmơ	charmeuse
xa thân	abcauline
xa thực tế	romantic
xa trưởng	trainmaster
xa tăng	prince
xa vắng	private
xa xỉ phẩm	nonessential
xa xôi	far
xa xăm	far
xa xưa	far-off
xa đỉnh	abapikal
xa-mô-a	samoan
xacxô	saxophone
xacôm xương	osteosarcoma
xaibơnêtic	cybernetic
xanh da trời	azure
xanh lá cây	green
xanh lơ	caesious
xanh nhợt	white
xanh tươi	verdant
xanh đồng	verdigris
xanhđica	syndicate
xao xuyến	flutter
xay thành bột	flour
xà cừ	narce
xà cừ  nacre	mother-of-pearl
xà nhiều lớp	sandwich-beam
xà phòng mềm	soft-soap
xà phòng vẩy	soap-flakes
xà đầu long	plesiosauri
xà đỡ	stemple
xào nấu được	culinary
xá tôi	assoil
xá tội	pardon
xác chết	body
xác nhân	affirm
xác nhận	lay
xác nhận lại	reassert
xác rắn lột	slough
xác suất	frequency
xác súc vật	carcase
xác tàu đắm	lagan
xác thực	soothly
xác xơ	tacky
xác đáng	accurately
xác đinh	definite
xác định	hafd
xác định lại	redefine
xác ướp	anatomy
xách tay được	portative
xái thuốc lá	dottle
xám như tro	ashy
xám sắt	iron-grey
xám đi	hoar
xáo lộn	mess
xáo trộn	perturb
xáo động	seething
xát cho ấm	unbenumb
xát côlôfan	rosin
xã hội	world
xã hội hoá	socialise
xã hội học	sociologically
xả hết ra	deplete
xả hơi	blow
xả thân	self-giving
xảo quyệt	slim
xảy ra sau đó	ensue
xảy đên	occur
xảy đến	betid
xạ hương	musk
xcăng-đi-na-vi	scandinavian
xe  bán sữa	dandy-cart
xe ba ngựa	troika
xe bán nước	water-cart
xe bốn bánh	four-wheel
xe bốn ngựa	drag
xe băng ca	brancard
xe cà khổ	crock
xe chạy suốt	non-stop
xe chạy được	carriageable
xe chậm	way-train
xe chở pháo	gun-carriage
xe chở phân	dung-cart
xe chở sữa	tanker
xe chợ	omnibus-train
xe chữa cháy	fire-truck
xe con cao tốc	speedster
xe cũi đẩy	play-pen
xe cần cẩu	crane-truck
xe cần trục	jenny
xe cấp cứu	ambulance
xe cứu thương	ambulance
xe diễu hành	float
xe dịch được	shiftable
xe dây xích	caterpillar
xe haptrăc	half-track
xe hẩy	scooter
xe hơi nước	steam-car
xe lan-đô nhỏ	landaulet
xe lenddô	landau
xe lật	dump-car
xe lăn	wheelchair
xe lăn đường	roller
xe lương thảo	forage-waggon
xe mang thư	mail-carrier
xe mô tô	motor-bike
xe một ngựa	ekka
xe ngựa	cart
xe ngựa thuê	cab
xe ngựa trạm	post-coach
xe nổ máy	push-start
xe rước	float
xe rửa đường	streetwasher
xe sợi	stranding
xe thư	post
xe tibơri	tilbury
xe toàn năng	shooting-brake
xe trượt	drag
xe trượt băng	bob-sled
xe tuần tra	patrol-car
xe tập lái	l-plate
xe tập đi	go-cart
xe tăng	tank
xe tăng nhẹ	whippet
xe tăngđem	tandem
xe tắc xi	cab
xe tơ	spin
xe tưới đường	water-cart
xe tự đổ tải	self-discharger
xe vực ngựa	break
xe xích lô	trishaw
xe xtanôp	stanhope
xe ô tô	car
xe ôtô cho thuê	minicab
xe ôtô nhỏ	subcompact
xe đạp	cycle
xe đạp cổ	ordinate
xe đạp cổ xưa	hobby
xe đạp nước	water-cycle
xe điện	trolly
xe điện  tram	tram-car
xe điện ngầm	metro
xe đua	racer
xe đẩy	cart
xe đẩy tay	pram
xe đổ rác	night-cart
xe đổ thùng	night-cart
xe độc mã	fly
xe đưa sữa	milk-float
xe đưa đồ ăn	dumb-waiter
xe ở nhà	homespun
xecmăng	segment
xelô	cello
xem lại được	revisable
xem lần lượt	look
xem lướt qua	browse
xem như	took
xem thường	despise
xem trước	preview
xem xét trước	anticipate
xem đến hết	see
xen  vào giữa	interbed
xen lẫn	inwrought
xen vào giữa	sandwich
xen-tơ	gaelic
xé không đều	jag
xé rách được	lacerable
xé rời	discerp
xé rời ra	unrip
xé tơi ra	pick
xé đầu	clip
xé đôi	pick
xén bớt	maim
xén lề	emarginate
xén lông	cropping
xén đi	pare
xén đầu cánh	pinion
xéo đi!	scram
xét lại được	revisable
xét nghiệm	assay
xét rằng	whereas
xét thấy	now
xét xử	pass
xét đoán	rede
xét đến	took
xẻ chân vịt	palmiparted
xẻ lông chim	pennate
xẻ năm sâu	quinquefid
xẻ sâu	parted
xẻ đôi	two-cleft
xẻng xúc lửa	fire-shovel
xfalêrit	sphalerite
xfaêit	blende
xi gắn	sealing-wax
xi măng puzolan	puzzolan
xi nê	cinema
xi đen	blacking
xi-măng	cement
xi-rô	sirup
xiclôtron	cyclotron
xiclôxincrôtron	cyclosynchrotron
xifon trước	prosiphon
xifông	trap
xilô	silo
xim nhiều ngả	pleiochasim
xin ai tha thứ	beg
xin cảm ơn anh	trouble
xin dung thứ	cry
xin lần nữa	redemand
xin lỗi	beg
xin lưu ý	nb
xin nhắc lại	pardon
xin phúc đáp	rsvp
xin thôi	resign
xin thôi việc	demit
xin từ biệt!	vale
xin vâng lệnh	right
xin xỏ được	bum
xin đa tạ!	gramercy
xin đủ	thanks
xin đơm	glomerule
xin được	get
xincrôtron	synchrotron
xinh xắn	cute
xinh đẹp	nice
xiphông	crane
xirô	syrupy
xirô trị ho	linctus
xiên	spit
xiên gió	free
xiên qua	aslant
xiên đi	splay
xiên đâm cá	grains
xiêu vẹo	tumbledown
xiềng	manacle
xiềng lại	enfetter
xiềng xích	bond
xiếc bao	how
xiểm nịnh	courtly
xì hơi	gas
xì lốp	uniflated
xí nghiệp	factory
xích chó săn	leash
xích gần	snuggle
xích lại gần	near
xích đạo	equator
xỉn đi	dim
xỉu đi	faint
xịu xuống	fall
xla-vơ hoá	slavonize
xmít lớn	major
xoa bột tan	talc
xoa cho ấm	unbenumb
xoa mỡ	grease
xoa thuốc mỡ	salve
xoay chiều	alternative
xoay hộ	get
xoay hướng	haul
xoay hướng đi	put
xoay ngược	invert
xoay sở	cast
xoay sở được	manage
xoay trở lại	wheel
xoay về	look
xoay về tây	wester
xoay xở	shift
xoay xở được	manage
xoàng tồi	rubbishy
xoá bỏ ở sổ	wrote
xoá chữ chữa	stet
xoá khử	erasable
xoá sổ	scratch
xoá tên	scratch
xoá đi	blot
xoáy cuộn	dizzy
xoáy nước	gulf
xoáy trôn ốc	winding
xoã xuống	hung
xoè lửa	fulminate
xoè rộng ra	outspread
xoi lỗ thủng	pertused
xoi đường	chamfer
xong xuôi	accomplished
xoăn	crispy
xoăn tít	crisp
xoắn	fuzz
xoắn lại	curl
xoắn như rắn	snake-locked
xoắn phẳng	planispiral
xoắn trái	sinistral
xoắn trôn ốc	twist
xoắn ốc	spiry
xoắn đinh ốc	screwed
xoắn đứt	twist
xóc nảy lên	bump
xóc đĩa	fan-tan
xót thương	plaintively
xỏ lỗ	pierce
xpác-tơ	spartan
xpinen đỏ	balas
xtađiom	stadium
xtuđiô	studio
xtôn	stone
xtăngxơ	stanza
xu hướng	tide
xu hướng chung	climate
xu hướng.	trend
xu thế	trend
xua cho bay lên	flush
xua lên	put
xua đuổi	scare
xua đuổi sạch	remove
xua đuổi đi	dispel
xum xuê	exuberantly
xunfônamit	sulfonamide
xung khắc nhau	exclusive
xung khắc với	repugnant
xung lượng	pulse
xung mở	gate
xung vận tốc	surge
xung động	impulsion
xung đột	jar
xuyên	pierce
xuyên chéo	crossover
xuyên lá	perfoliate
xuyên mạch	diapedetic
xuyên qua	by
xuyên suốt	searchingly
xuyên sâu	impenetrate
xuyên tạc	wrest
xuyên thị xã	crosstown
xuyên thấu	pierce
xuyên tiếp	feedthrough
xuyên tâm	radial
xuyên tâm đối	antipodal
xuyên vào	sink
xuyên vách	transseptal
xuyên xiberi	trans-siberian
xuyên âm	crosstalk
xuyên đến	penetrate
xuyên độ kế	penetrometer
xuyến	circlet
xuỳ tiền ra	pay
xuân hoá	yarovize
xuất bản	put
xuất bản lại	republish
xuất cảng	export
xuất chúng	grand
xuất gia đi tu	renounce
xuất hiện	shew
xuất huyết	haemorrhagic
xuất khẩu	export
xuất phát	flow
xuất phát từ	stem
xuất sắc	keen
xuất thần	ecstatic
xuất tiền	come
xuẩn ngốc	rain
xuề xoà	accommodating
xuềnh xoàng	hair
xuôi	down
xuôi ngược	backwards
xuồng	canoe
xuồng bay	air-boat
xuồng bơi	dinghy
xuồng caiac	kaiak
xuồng chèo	pinnace
xuồng du lịch	launch
xuồng lớn	launch
xuồng máy	power-boat
xuồng máy bay	deplane
xuồng nhẹ	whiff
xuồng nhỏ	gig
xuồng tập	tub
xuồng yôn	yawl
xuống	ebb
xuống cho đến	down
xuống chó	skid
xuống cấp	bathetic
xuống dây	unstring
xuống dần	draw
xuống dốc	skid
xuống dưới	adown
xuống giá	sag
xuống máy	pinnace
xuống ngựa	off-saddle
xuống số	change
xuống tàu	sail
xuống thang	deescalate
xuống thấp	neap
xuống thế	fall
xuống thẳng	pancake
xuống xe	land
xuống xe lửa	detrain
xuống yên	off-saddle
xuống đất	land
xù xoắn bồng	fleecy
xúc phạm đến	hit
xúc tiến	sped
xúc xích khô	saveloy
xúc xích đức	frankfurt
xúc động	flushed
xúi bẩy	abet
xúm đông	throng
xúp mướp tây	gumbo
xúp tôm cua	bisk
xúp đặc	pottage
xút bồ tạt	alkali
xâm chiếm	hold
xâm lấn	invade
xâm lăng	aggressive
xâm lược	invade
xâm nhập	muscle
xâm phạm	po
xâm thực	corrade
xâu	rope
xâu chuỗi	catena
xây	build
xây  quá lớn	overbuild
xây bít đi	build
xây cầu qua	bridge
xây cất	build
xây cửa cống	sluice
xây dựng	put
xây dựng kém	incondite
xây dựng lại	refound
xây gắn vào	build
xây lại	rebuild
xây lại tổ	renest
xây lấp đi	build
xây lề cho	curb
xây lỗ ném	machicolate
xây mái	cope
xây máng	flume
xây thành cho	curb
xây thành vòm	vault
xây trùm lên	overbuild
xây vào	bed
xây vách đất	daub
xây vòm	cope
xây đập	dam
xấc	short
xấc láo	free
xấc xược	pert
xấp xỉ	thereabout
xấp xỉ với	approximate
xất xược	necky
xấu	bad
xấu bụng	malevolent
xấu hổ	coy
xấu hơn	worse
xấu nhất	worst
xấu như ma	eldritch
xấu số	accurst
xấu tính	bearish
xấu xa	ugly
xấu xí	splay
xê cô	water-ice
xê cố	sorbet
xê dịch	move
xê gần	snuggle
xê-mít	semitic
xêmina	seminar
xêphit	psephite
xêquin	sequin
xêrexin	ceresin
xêsi	caesium
xế	wane
xế chiều	draw
xế tà	decline
xếch	slanting
xếch-xpia	bard
xếp	lay
xếp  vào ngăn	shelve
xếp chặt	pack
xếp chữ	typesetting
xếp chữ chi	stagger
xếp dọc	anteroposterior
